purchase_hour,Transactions,Revenue,Quantity_Sold
0,10495,28633819,31568
1,10364,28253618,30988
2,10475,28451022,31736
3,10466,28511287,31347
4,10327,27993258,30997
5,10342,28079224,30858
6,10427,28347217,31374
7,10524,28928170,31597
8,10600,28849910,31875
9,10290,28158559,30827
10,10403,28130549,31167
11,10534,28654265,31492
12,10250,27868531,30733
13,10379,28280321,31387
14,10337,28349710,30977
15,10419,28293017,31394
16,10581,29039442,31705
17,10652,29252733,31933
18,10542,28796745,31698
19,10314,28074080,30710
20,10374,28195891,30959
21,10261,28092460,30568
22,10383,28320286,31223
23,10261,27788569,30611
