year_month,Transactions,Unique_Customers,Quantity_Sold,Revenue
2020-01,5687,5376,17256,15442459
2020-02,5394,5099,16172,14561593
2020-03,5683,5365,17038,15537311
2020-04,5499,5193,16451,14847491
2020-05,5734,5429,17121,15395782
2020-06,5539,5244,16552,14980739
2020-07,5851,5533,17512,16003821
2020-08,5769,5455,17378,15954931
2020-09,5591,5303,16654,14969811
2020-10,5778,5441,17228,15799599
2020-11,5628,5318,16878,15497095
2020-12,5892,5534,17959,16285542
2021-01,5689,5371,17229,15522423
2021-02,5151,4893,15382,14207789
2021-03,5914,5576,17364,16037760
2021-04,5516,5254,16498,14955289
2021-05,5667,5346,17058,15468549
2021-06,5536,5242,16550,15153850
2021-07,5612,5279,16711,15399655
2021-08,5674,5340,16869,15417951
2021-09,5445,5164,16313,14841329
2021-10,5728,5416,17124,15455040
2021-11,5550,5254,16695,15161094
2021-12,5617,5284,16732,15222674
2022-01,5792,5483,17341,15917637
2022-02,5165,4907,15484,14153776
2022-03,5757,5436,17341,15786644
2022-04,5391,5080,16325,14477271
2022-05,5792,5466,17381,15780614
2022-06,5527,5221,16630,15084793
2022-07,5774,5434,17440,15663572
2022-08,5720,5394,17020,15484872
2022-09,5505,5220,16521,14853703
2022-10,5622,5331,16853,15450420
2022-11,5548,5244,16762,14997555
2022-12,5576,5281,16708,15274645
2023-01,5656,5355,17017,15495450
2023-02,5300,5032,15840,14419872
2023-03,5753,5454,17392,15829113
2023-04,5645,5344,16802,15331855
2023-05,5684,5389,17033,15399935
2023-06,5520,5214,16623,15268374
2023-07,5711,5388,17149,15574576
2023-08,5746,5428,17343,15596646
2023-09,2672,2596,7995,7381783
